cluster_id,risk_level,mean_alt_km,P_runaway,mean_new_frags,p95_new_frags,p95_generations,kessler_index
238,HIGH,777.1819979483652,0.0,0.0,0.0,0.0,0.0
180,MEDIUM,612.9846222572704,0.0,2.5433333333333334,0.0,0.0,0.0
172,MEDIUM,601.3434127865082,0.0,1.5366666666666666,0.0,0.0,0.0
250,MEDIUM,791.024122888674,0.0,1.2433333333333334,0.0,0.0,0.0
199,MEDIUM,784.979600667646,0.0,1.18,0.0,0.0,0.0
202,MEDIUM,789.9454269801304,0.0,0.0,0.0,0.0,0.0
113,MEDIUM,598.7464602700915,0.0,1.09,0.0,0.0,0.0
181,MEDIUM,600.7480854247552,0.0,0.0,0.0,0.0,0.0
232,MEDIUM,782.5288295589464,0.0,0.0,0.0,0.0,0.0
98,MEDIUM,600.4020648139983,0.0,0.2833333333333333,0.0,0.0,0.0
241,MEDIUM,785.0141534033035,0.0,0.0,0.0,0.0,0.0
148,MEDIUM,595.6464874414173,0.0,0.5333333333333333,0.0,0.0,0.0
144,MEDIUM,839.1782535568813,0.0,0.0,0.0,0.0,0.0
252,MEDIUM,788.6806406309615,0.0,0.0,0.0,0.0,0.0
119,MEDIUM,612.412030457455,0.0,0.0,0.0,0.0,0.0
227,MEDIUM,781.6088276295732,0.0,0.0,0.0,0.0,0.0
71,MEDIUM,469.3101573247388,0.0,0.0,0.0,0.0,0.0
248,MEDIUM,870.5842388740732,0.0,0.0,0.0,0.0,0.0
217,MEDIUM,781.6443379016346,0.0,0.0,0.0,0.0,0.0
177,MEDIUM,755.6541386908281,0.0,0.0,0.0,0.0,0.0
131,MEDIUM,835.220414021523,0.0,0.0,0.0,0.0,0.0
229,MEDIUM,783.4970512130134,0.0,0.0,0.0,0.0,0.0
83,MEDIUM,595.5886745675272,0.0,0.0,0.0,0.0,0.0
146,MEDIUM,795.9566168469933,0.0,0.0,0.0,0.0,0.0
253,MEDIUM,852.3122007950678,0.0,0.0,0.0,0.0,0.0
216,MEDIUM,776.1660483385513,0.0,0.0,0.0,0.0,0.0
134,MEDIUM,865.9540693582935,0.0,0.0,0.0,0.0,0.0
245,MEDIUM,782.5456172752642,0.0,0.0,0.0,0.0,0.0
45,MEDIUM,918.9894311271014,0.0,0.0,0.0,0.0,0.0
151,MEDIUM,842.0938287443925,0.0,0.0,0.0,0.0,0.0
230,MEDIUM,764.5455918535503,0.0,0.0,0.0,0.0,0.0
158,MEDIUM,778.2202621170095,0.0,0.0,0.0,0.0,0.0
162,MEDIUM,599.592748888196,0.0,0.0,0.0,0.0,0.0
212,MEDIUM,787.4921129955316,0.0,0.0,0.0,0.0,0.0
175,MEDIUM,784.8922456307694,0.0,0.0,0.0,0.0,0.0
208,MEDIUM,784.4813726869118,0.0,0.0,0.0,0.0,0.0
124,MEDIUM,599.0412638656323,0.0,0.0,0.0,0.0,0.0
142,MEDIUM,598.4983921788041,0.0,0.0,0.0,0.0,0.0
207,MEDIUM,762.8224108930739,0.0,0.0,0.0,0.0,0.0
91,MEDIUM,463.3194564985914,0.0,0.0,0.0,0.0,0.0
184,MEDIUM,598.3594688319288,0.0,0.0,0.0,0.0,0.0
236,MEDIUM,859.0198772167796,0.0,0.0,0.0,0.0,0.0
215,MEDIUM,853.8909288578209,0.0,0.0,0.0,0.0,0.0
139,MEDIUM,786.0888630706391,0.0,0.0,0.0,0.0,0.0
